Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"QC","Crops","10","Australia","5510","Production","221","Almonds, with shell","2018","2018","tonnes","69880"
"QC","Crops","10","Australia","5510","Production","711","Anise, badian, fennel, coriander","2018","2018","tonnes","1264"
"QC","Crops","10","Australia","5510","Production","515","Apples","2018","2018","tonnes","268355"
"QC","Crops","10","Australia","5510","Production","526","Apricots","2018","2018","tonnes","8801"
"QC","Crops","10","Australia","5510","Production","367","Asparagus","2018","2018","tonnes","7233"
"QC","Crops","10","Australia","5510","Production","572","Avocados","2018","2018","tonnes","63486"
"QC","Crops","10","Australia","5510","Production","486","Bananas","2018","2018","tonnes","373931"
"QC","Crops","10","Australia","5510","Production","44","Barley","2018","2018","tonnes","9253852"
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2018","2018","tonnes","32569"
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2018","2018","tonnes","45903"
"QC","Crops","10","Australia","5510","Production","558","Berries nes","2018","2018","tonnes","4821"
"QC","Crops","10","Australia","5510","Production","552","Blueberries","2018","2018","tonnes","5138"
"QC","Crops","10","Australia","5510","Production","181","Broad beans, horse beans, dry","2018","2018","tonnes","377740"
"QC","Crops","10","Australia","5510","Production","358","Cabbages and other brassicas","2018","2018","tonnes","92877"
"QC","Crops","10","Australia","5510","Production","101","Canary seed","2018","2018","tonnes","4847"
"QC","Crops","10","Australia","5510","Production","426","Carrots and turnips","2018","2018","tonnes","284707"
"QC","Crops","10","Australia","5510","Production","393","Cauliflowers and broccoli","2018","2018","tonnes","117461"
"QC","Crops","10","Australia","5510","Production","531","Cherries","2018","2018","tonnes","15964"
"QC","Crops","10","Australia","5510","Production","191","Chick peas","2018","2018","tonnes","998231"
"QC","Crops","10","Australia","5510","Production","401","Chillies and peppers, green","2018","2018","tonnes","49039"
"QC","Crops","10","Australia","5510","Production","767","Cotton lint","2018","2018","tonnes","950395"
"QC","Crops","10","Australia","5510","Production","329","Cottonseed","2018","2018","tonnes","1414000"
"QC","Crops","10","Australia","5510","Production","195","Cow peas, dry","2018","2018","tonnes",""
"QC","Crops","10","Australia","5510","Production","397","Cucumbers and gherkins","2018","2018","tonnes","17681"
"QC","Crops","10","Australia","5510","Production","550","Currants","2018","2018","tonnes","541"
"QC","Crops","10","Australia","5510","Production","821","Fibre crops nes","2018","2018","tonnes",""
"QC","Crops","10","Australia","5510","Production","569","Figs","2018","2018","tonnes","75"
"QC","Crops","10","Australia","5510","Production","773","Flax fibre and tow","2018","2018","tonnes",""
"QC","Crops","10","Australia","5510","Production","512","Fruit, citrus nes","2018","2018","tonnes","1538"
"QC","Crops","10","Australia","5510","Production","541","Fruit, stone nes","2018","2018","tonnes",""
"QC","Crops","10","Australia","5510","Production","603","Fruit, tropical fresh nes","2018","2018","tonnes","7647"
"QC","Crops","10","Australia","5510","Production","507","Grapefruit (inc. pomelos)","2018","2018","tonnes","9518"
"QC","Crops","10","Australia","5510","Production","560","Grapes","2018","2018","tonnes","1663557"
"QC","Crops","10","Australia","5510","Production","242","Groundnuts, with shell","2018","2018","tonnes","14978"
"QC","Crops","10","Australia","5510","Production","677","Hops","2018","2018","tonnes","705"
"QC","Crops","10","Australia","5510","Production","592","Kiwi fruit","2018","2018","tonnes","2861"
"QC","Crops","10","Australia","5510","Production","497","Lemons and limes","2018","2018","tonnes","33421"
"QC","Crops","10","Australia","5510","Production","201","Lentils","2018","2018","tonnes","255185"
"QC","Crops","10","Australia","5510","Production","372","Lettuce and chicory","2018","2018","tonnes","148349"
"QC","Crops","10","Australia","5510","Production","333","Linseed","2018","2018","tonnes","6000"
"QC","Crops","10","Australia","5510","Production","210","Lupins","2018","2018","tonnes","714254"
"QC","Crops","10","Australia","5510","Production","56","Maize","2018","2018","tonnes","387240"
"QC","Crops","10","Australia","5510","Production","446","Maize, green","2018","2018","tonnes","97224"
"QC","Crops","10","Australia","5510","Production","571","Mangoes, mangosteens, guavas","2018","2018","tonnes","56893"
"QC","Crops","10","Australia","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","224672"
"QC","Crops","10","Australia","5510","Production","79","Millet","2018","2018","tonnes","35922"
"QC","Crops","10","Australia","5510","Production","449","Mushrooms and truffles","2018","2018","tonnes","51222"
"QC","Crops","10","Australia","5510","Production","292","Mustard seed","2018","2018","tonnes",""
"QC","Crops","10","Australia","5510","Production","234","Nuts nes","2018","2018","tonnes","44014"
