Area,Item Code,Item,Value
Kiribati,486,Bananas,8339
Kiribati,249,Coconuts,174135
Kiribati,603,"Fruit, tropical fresh nes",1677
Kiribati,234,Nuts nes,285
Kiribati,149,Roots and tubers nes,9896
Kiribati,136,Taro (cocoyam),1925
Kiribati,463,"Vegetables, fresh nes",5767
Maldives,486,Bananas,334
Maldives,249,Coconuts,225
Maldives,619,"Fruit, fresh nes",2057
Maldives,56,Maize,147
Maldives,571,"Mangoes, mangosteens, guavas",128
Maldives,234,Nuts nes,2171
Maldives,600,Papayas,1833
Maldives,211,Pulses nes,104
Maldives,149,Roots and tubers nes,2170
Maldives,388,Tomatoes,168
Maldives,463,"Vegetables, fresh nes",2298
Marshall Islands,249,Coconuts,24342
Tuvalu,486,Bananas,292
Tuvalu,249,Coconuts,1629
Tuvalu,603,"Fruit, tropical fresh nes",609
Tuvalu,149,Roots and tubers nes,143
Tuvalu,463,"Vegetables, fresh nes",630
